date,open,close,high,low,num_trade,amount,,,,
2009-05-04,2486.69 ,2559.91 ,2560.54 ,2486.23 ,1533699.90 ,14655666.99 ,,,,
2009-05-05,2577.43 ,2567.34 ,2590.78 ,2552.39 ,1584222.83 ,15148374.48 ,,,,
2009-05-06,2563.56 ,2592.52 ,2596.93 ,2552.63 ,1607085.83 ,15473926.62 ,,,,
2009-05-07,2612.12 ,2597.45 ,2622.11 ,2566.12 ,1818114.60 ,17495068.41 ,,,,
2009-05-08,2586.76 ,2625.65 ,2634.06 ,2574.57 ,1619209.76 ,15621840.10 ,,,,
2009-05-11,2646.29 ,2579.75 ,2663.95 ,2579.75 ,1782483.59 ,17232199.17 ,,,,
2009-05-12,2562.36 ,2618.17 ,2619.69 ,2558.96 ,1230059.60 ,11353528.71 ,,,,
2009-05-13,2629.03 ,2663.77 ,2670.21 ,2608.32 ,1458360.06 ,14485289.79 ,,,,
2009-05-14,2631.45 ,2639.89 ,2651.49 ,2610.22 ,1247624.42 ,12145413.68 ,,,,
2009-05-15,2646.89 ,2645.26 ,2661.37 ,2623.36 ,1108901.82 ,10660836.55 ,,,,
2009-05-18,2632.57 ,2652.78 ,2656.84 ,2589.61 ,1190488.94 ,11775692.83 ,,,,
2009-05-19,2679.40 ,2676.68 ,2688.11 ,2660.56 ,1474660.97 ,14827827.17 ,,,,
2009-05-20,2680.55 ,2651.41 ,2686.35 ,2651.01 ,1382458.61 ,13772637.82 ,,,,
2009-05-21,2639.14 ,2610.62 ,2663.23 ,2598.87 ,1389269.81 ,13883644.17 ,,,,
2009-05-22,2595.99 ,2597.60 ,2617.75 ,2578.59 ,991472.98 ,9911825.04 ,,,,
2009-05-25,2555.34 ,2610.01 ,2618.36 ,2538.62 ,1120007.85 ,11278340.86 ,,,,
2009-05-26,2615.01 ,2588.58 ,2618.80 ,2585.91 ,1145146.70 ,11813129.46 ,,,,
2009-05-27,2601.24 ,2632.93 ,2635.31 ,2592.79 ,1031677.20 ,10327925.27 ,,,,
2009-06-01,2668.40 ,2721.28 ,2726.72 ,2668.40 ,1479595.51 ,15658337.29 ,,,,
2009-06-02,2739.44 ,2724.30 ,2750.88 ,2713.47 ,1563560.58 ,16153352.82 ,,,,
2009-06-03,2722.27 ,2778.59 ,2778.68 ,2717.86 ,1556816.58 ,15993313.73 ,,,,
2009-06-04,2753.25 ,2767.24 ,2778.24 ,2728.20 ,1708789.21 ,17953047.48 ,,,,
2009-06-05,2783.86 ,2753.89 ,2791.65 ,2750.38 ,1466481.13 ,15400800.46 ,,,,
2009-06-08,2753.35 ,2768.34 ,2795.15 ,2729.03 ,1332314.47 ,13905562.88 ,,,,
2009-06-09,2766.51 ,2787.89 ,2788.37 ,2721.85 ,1326015.67 ,13336834.08 ,,,,
2009-06-10,2796.90 ,2816.25 ,2820.58 ,2790.00 ,1452671.88 ,14416456.48 ,,,,
2009-06-11,2812.28 ,2797.32 ,2828.74 ,2787.45 ,1341148.77 ,13267946.68 ,,,,
2009-06-12,2793.97 ,2743.76 ,2812.68 ,2722.22 ,1276946.51 ,12385677.45 ,,,,
2009-06-15,2743.03 ,2789.55 ,2790.98 ,2727.74 ,1062250.13 ,10861122.47 ,,,,
2009-06-16,2762.74 ,2776.02 ,2797.48 ,2753.69 ,1033833.27 ,10827695.90 ,,,,
2009-06-17,2771.52 ,2810.12 ,2813.61 ,2744.22 ,1107837.42 ,11797793.02 ,,,,
2009-06-18,2812.99 ,2853.90 ,2855.42 ,2810.85 ,1388426.94 ,14726858.21 ,,,,
2009-06-19,2861.18 ,2880.49 ,2886.50 ,2847.36 ,1530233.62 ,15132073.14 ,,,,
2009-06-22,2900.57 ,2896.30 ,2923.24 ,2884.13 ,1469722.00 ,14801960.12 ,,,,
2009-06-23,2853.49 ,2892.70 ,2941.06 ,2841.90 ,1444652.67 ,14452904.73 ,,,,
2009-06-24,2889.05 ,2922.30 ,2923.47 ,2880.29 ,1405742.60 ,14658208.03 ,,,,
2009-06-25,2926.62 ,2925.05 ,2946.90 ,2909.09 ,1196130.20 ,12931718.69 ,,,,
2009-06-26,2930.50 ,2928.21 ,2937.61 ,2910.35 ,1095607.20 ,11528819.64 ,,,,
2009-06-29,2930.31 ,2975.31 ,2976.92 ,2918.39 ,1285437.74 ,13689782.04 ,,,,
2009-06-30,2990.12 ,2959.36 ,2997.27 ,2953.36 ,1258139.58 ,14370235.89 ,,,,
2009-07-01,2950.17 ,3008.15 ,3009.71 ,2947.69 ,1382501.33 ,15378757.25 ,,,,
2009-07-02,3015.08 ,3060.25 ,3062.56 ,3015.08 ,1619602.84 ,18110641.30 ,,,,
2009-07-03,3035.81 ,3088.37 ,3088.86 ,3029.55 ,1594679.46 ,17743770.69 ,,,,
2009-07-06,3091.48 ,3124.67 ,3128.31 ,3090.10 ,1832373.16 ,20390625.30 ,,,,
