date,open,close,high,low,num_trade,volume,,,,,
2009-05-04,4048.21,4147.89,4148.55,4048.21,128710.75,1709887.88,,,,,
2009-05-05,4187.01,4175.75,4212.94,4157.16,139937.35,1880510.44,,,,,
2009-05-06,4173.98,4274.56,4274.56,4161.39,149419.13,2069157.14,,,,,
2009-05-07,4309.41,4253.01,4319.25,4183.32,172436.96,2372119.09,,,,,
2009-05-08,4221.53,4204.58,4235.31,4125.73,144703.04,1914386.45,,,,,
2009-05-11,4223.53,4051.4,4232.53,4051.4,140171.62,1834144.68,,,,,
2009-05-12,4029.59,4135.02,4135.02,4019.28,90845.14,1203462.16,,,,,
2009-05-13,4148.72,4195.35,4211.85,4142.26,121328.08,1667913.59,,,,,
2009-05-14,4170.61,4187.93,4193.15,4138.28,111694.96,1504141.83,,,,,
2009-05-15,4196.46,4229.92,4245.04,4187.8,105136.52,1459181.31,,,,,
2009-05-18,4224.33,4243.32,4247.48,4156.3,102146.52,1387886.5,,,,,
2009-05-19,4268.04,4266.12,4288.75,4243.93,135532.85,1830648.55,,,,,
2009-05-20,4274.77,4270.24,4318.7,4261.37,127255.93,1757561.33,,,,,
2009-05-21,4248.65,4192.18,4269.86,4158.54,125125.79,1726829.57,,,,,
2009-05-22,4187.18,4175.68,4224.02,4154.44,100287.39,1437126.71,,,,,
2009-05-25,4089.98,4200.47,4209.16,4057.93,115908.14,1617808.64,,,,,
2009-05-26,4205.04,4211.78,4282.35,4205.04,130844.33,1874802.97,,,,,
2009-05-27,4223.53,4209.59,4238.68,4176.68,98979.74,1364724.1,,,,,
2009-06-01,4239.62,4269.23,4278.55,4230.78,111284.54,1612394.68,,,,,
2009-06-02,4284.8,4279.92,4306.9,4265.96,127016.35,1779976.75,,,,,
2009-06-03,4283.08,4290.5,4300.64,4267.17,129450.06,1812667.82,,,,,
2009-06-04,4285.51,4279.71,4311.3,4233.03,138924.9,1955125.31,,,,,
2009-06-05,4297.13,4271.27,4313.66,4259.92,120614.82,1770804.17,,,,,
2009-06-08,4273.75,4223.22,4280.84,4200.4,109893.71,1592634.3,,,,,
2009-06-09,4215.61,4271.12,4272.21,4161.24,111246.25,1524892.27,,,,,
2009-06-10,4271.88,4321.75,4330.97,4262.75,113742.93,1489958.91,,,,,
2009-06-11,4320.24,4304.55,4352.11,4289.11,108335.48,1410660.48,,,,,
2009-06-12,4302.34,4215.8,4321.94,4188.29,110129.74,1477860.35,,,,,
2009-06-15,4205.06,4298.5,4298.5,4205.06,91459.55,1215872.77,,,,,
2009-06-16,4265.62,4305.75,4329.27,4247.63,89351.6,1255528.72,,,,,
2009-06-17,4302.77,4345.89,4353.8,4275.63,99685.18,1419239.19,,,,,
2009-06-18,4350.77,4385.02,4398.69,4343.94,119992.84,1729232.46,,,,,
2009-06-19,4389.98,4347.79,4395.09,4336.47,127029.47,1827274.67,,,,,
2009-06-22,4363.26,4335.14,4379.42,4322.55,125680.88,1776473.67,,,,,
2009-06-23,4284.72,4307.73,4342.58,4265.46,112752.5,1477696.68,,,,,
2009-06-24,4310.34,4367.88,4369.48,4300.28,112459.23,1617167.44,,,,,
2009-06-25,4381.15,4370.52,4392.16,4347.43,122847.58,1727535.94,,,,,
2009-06-26,4383.6,4367.5,4396.26,4349.2,104750.02,1395516,,,,,
2009-06-29,4372.51,4370.52,4385.26,4355.59,108645.95,1468530.21,,,,,
2009-06-30,4375.64,4363.72,4390.17,4347.81,109310.24,1578620.45,,,,,
2009-07-01,4353.76,4398.17,4398.17,4346.55,111279.25,1628733.27,,,,,
2009-07-02,4412.12,4450.11,4450.11,4405.77,128412.59,1969719.96,,,,,
2009-07-03,4435.89,4446.81,4455.42,4409.58,122966.11,1863524.33,,,,,
2009-07-06,4458.16,4441.08,4462.27,4412.53,123493.9,1772724.33,,,,,
2009-07-07,4434.05,4458.18,4480.62,4428.3,131642.83,1922820.88,,,,,
2009-07-08,4436.82,4492.08,4501.81,4431.08,123731.6,1812463.18,,,,,
2009-07-09,4502.96,4597,4601.67,4484.68,163941.43,2445473.51,,,,,
2009-07-10,4609.37,4596.21,4628.56,4580.51,158382.58,2438190.53,,,,,
2009-07-13,4589.08,4630.12,4653.54,4576.11,157368.84,2403101.23,,,,,
2009-07-14,4645.81,4708.33,4708.33,4637.46,154958.85,2330596.03,,,,,
2009-07-15,4712.68,4707.92,4717.84,4682.77,176487.27,2678603.22,,,,,
2009-07-16,4728.17,4679.31,4734.11,4663.43,180373.73,2754422.44,,,,,
2009-07-17,4670.3,4688.12,4700.43,4642.52,151089.04,2376769.98,,,,,
2009-07-20,4702.5,4793.68,4793.68,4693.62,189860.26,2961605.81,,,,,
2009-07-21,4795.99,4649.77,4795.99,4643.42,169937.71,2625077.45,,,,,
2009-07-22,4646.69,4710.94,4719.27,4646.69,140627.38,2207497.17,,,,,
2009-07-23,4723.91,4729.2,4729.2,4693.67,134295.4,2070260.9,,,,,
2009-07-24,4742.24,4678.21,4752.3,4614.26,150191.35,2284598.18,,,,,
2009-07-27,4688.08,4765.53,4765.53,4685.09,162130.8,2571668.08,,,,,
2009-07-28,4781.07,4876.56,4877.31,4756.5,200944.28,3274695.88,,,,,
2009-07-29,4857.16,4587.2,4873.96,4490.91,198429.8,3142470.12,,,,,
2009-07-30,4600.68,4642.83,4664.07,4503.71,157175,2509765.41,,,,,
2009-07-31,4682.18,4766.9,4773.86,4654.97,158175.74,2522824.96,,,,,
2009-08-03,4792.34,4847.93,4851.63,4754.59,179292.88,2749249.15,,,,,
2009-08-04,4851.1,4913.07,4913.07,4805.5,200388.02,3098733.12,,,,,
2009-08-05,4917.88,4956.87,5005.86,4875.51,206253.96,3248171.26,,,,,
2009-08-06,4918.32,4929.88,5018.12,4859.92,188537.81,2985126.73,,,,,
2009-08-07,4921.21,4768.95,4959.57,4759.34,159304.5,2441973.72,,,,,
2009-08-10,4824.84,4811.11,4874.79,4734.68,130871.57,2002706.94,,,,,
2009-08-11,4831.96,4847.58,4868.47,4786.9,114616.25,1867732.89,,,,,
2009-08-12,4842.12,4613.74,4842.12,4589.98,125457.74,1979658.29,,,,,
2009-08-13,4618.71,4610.55,4655.27,4522.77,102768.91,1619768.08,,,,,
2009-08-14,4616.4,4433.96,4620.89,4433.96,116022.92,1729848.03,,,,,
2009-08-17,4373.54,4125.02,4374.82,4123.33,110159.93,1563956.84,,,,,
2009-08-18,4094.89,4196.62,4214.77,4086.23,82611.62,1185556.88,,,,,
2009-08-19,4202.92,4021.07,4236.36,3990.45,99166.09,1420132.06,,,,,
2009-08-20,4026.46,4170.45,4175.35,4024.1,95840.57,1355147.21,,,,,
2009-08-21,4174.34,4276.45,4281.46,4143.09,129465.07,1888437.75,,,,,
2009-08-24,4291.83,4384.15,4394.06,4262.32,129551.37,2020891.84,,,,,
2009-08-25,4365.14,4313.16,4365.14,4212.65,145235.84,2111058.59,,,,,
2009-08-26,4299.15,4442.28,4480.85,4285.8,136138.15,1986427.33,,,,,
2009-08-27,4431.76,4480.77,4538.33,4414.7,141345.56,2077469.27,,,,,
2009-08-28,4471.01,4361.23,4477.95,4335.92,121453.74,1895099.41,,,,,
2009-08-31,4310.13,4076.52,4310.13,4070.12,109194.45,1595549.36,,,,,
2009-09-01,4045.22,4063.25,4142.44,4010.02,85383.94,1219746.97,,,,,
2009-09-02,4043.57,4071.18,4102.14,4013.12,73439.05,1063698.95,,,,,
2009-09-03,4078.33,4262.97,4269.64,4078.33,114351.98,1710129.57,,,,,
2009-09-04,4273.35,4319.18,4344.05,4254.08,115536.17,1696911.88,,,,,
2009-09-07,4353.76,4413.94,4467.54,4353.76,134720.73,2082719.1,,,,,
2009-09-08,4418.79,4505.16,4508.64,4374.19,122414.13,1912092.7,,,,,
2009-09-09,4519.95,4544.31,4550.98,4475.21,135474.67,2240622.87,,,,,
2009-09-10,4521.66,4495.86,4551.96,4475.5,125572.8,2258127.96,,,,,
2009-09-11,4480.09,4583.03,4598.54,4479.58,124728.84,2156269.24,,,,,
2009-09-14,4591.75,4667.73,4685.95,4587.55,155423.16,2700871.02,,,,,
2009-09-15,4674.22,4727.33,4751.24,4661.47,158594.46,2663536.37,,,,,
2009-09-16,4724.63,4726.99,4765.21,4646.71,163349.33,2687390.98,,,,,
2009-09-17,4738.81,4850.15,4869.09,4738.81,192068.05,3111995.25,,,,,
2009-09-18,4862.66,4698.32,4887.67,4654.93,202617.97,3297249.86,,,,,
2009-09-21,4651.3,4796.99,4800.13,4599.05,146288.8,2395530.83,,,,,
2009-09-22,4786.48,4729.46,4861.96,4722.58,134848.73,2253475.42,,,,,
2009-09-23,4718.13,4570.44,4760.85,4549.47,120433.21,1951270.32,,,,,
2009-09-24,4542.94,4520.8,4592.95,4421.62,102492.88,1623892.53,,,,,
2009-09-25,4501.01,4503.67,4562.53,4477.08,77361.32,1208607.13,,,,,
2009-09-28,4518,4450.57,4605.13,4438.42,85591.57,1360011.57,,,,,
2009-09-29,4450.19,4385.83,4469.4,4319.23,89551.3,1359750.18,,,,,
2009-09-30,4410.28,4436.65,4479.97,4410.28,71792.68,1128437.73,,,,,
2009-10-09,4520.64,4663.35,4666.99,4520.64,91316.13,1488240.61,,,,,
2009-10-12,4682.36,4655.38,4701.1,4621.82,96303.61,1577008.02,,,,,
2009-10-13,4639.89,4703.42,4703.42,4626.87,85934.59,1376246.3,,,,,
2009-10-14,4721.17,4692.3,4765,4677.38,117578.84,1900316.18,,,,,
2009-10-15,4721.16,4679.76,4741.1,4659.48,95477.07,1526500.43,,,,,
2009-10-16,4687.78,4685.35,4708.63,4618.44,97165,1531762.25,,,,,
2009-10-19,4689.65,4784.24,4784.27,4680.57,121008.34,1956432.35,,,,,
2009-10-20,4811.6,4850.9,4850.9,4806.88,153724.37,2502725.07,,,,,
2009-10-21,4844.37,4783.93,4856.58,4783.93,146560.47,2398208.75,,,,,
2009-10-22,4771.88,4778.78,4810.37,4745.23,130518.77,2156497.48,,,,,
2009-10-23,4787.97,4845.75,4871.53,4787.97,158934.14,2665988.71,,,,,
2009-10-26,4866.53,4881.15,4888.62,4833.29,148457.36,2508136.7,,,,,
2009-10-27,4850.48,4760.26,4854.06,4760.26,158403.05,2633141.96,,,,,
2009-10-28,4750.51,4804.14,4804.14,4715.66,127761.08,2018411.61,,,,,
2009-10-29,4750.21,4745.38,4779.27,4717,122984.73,2035633.7,,,,,
2009-10-30,4805.03,4792.93,4843.55,4771.05,134348.82,2337989.59,,,,,
2009-11-02,4710.76,4958.51,4958.51,4674.82,153907.38,2583211.5,,,,,
