date,open,close,high,low,num_trade,amount,,,,
2009-05-04,2635.13,2714.3,2715.19,2632.3,1029165.65,11335109.99,,,,
2009-05-05,2733.11,2727.01,2751.25,2713.23,1023137.22,11264188.61,,,,
2009-05-06,2721.82,2764.98,2771.21,2713.54,1058066.5,11823207.99,,,,
2009-05-07,2783.58,2767.08,2797.47,2731.8,1221011.61,13696582.51,,,,
2009-05-08,2751.5,2789.22,2800.22,2733.33,1067249.88,12087317.27,,,,
2009-05-11,2808.14,2725.32,2839.61,2725.27,1253644.52,14045574.99,,,,
2009-05-12,2702.74,2788.56,2788.61,2699.95,886959.42,9342145.83,,,,
2009-05-13,2792.42,2814.01,2822.71,2775.57,1071128.56,12363795.76,,,,
2009-05-14,2781.05,2792.6,2804.48,2757.55,826393.29,9615610.09,,,,
2009-05-15,2800.57,2796.12,2815.46,2773.32,649314.31,7497303.51,,,,
2009-05-18,2782.59,2810.57,2813.76,2740.92,748357.86,8847909.16,,,,
2009-05-19,2836.34,2840.08,2849.63,2821.95,977036.17,11654318.94,,,,
2009-05-20,2843.55,2812.87,2849.64,2812.6,879392.15,10514616.37,,,,
2009-05-21,2795.83,2750.01,2808.29,2735.77,855353.94,10287582.82,,,,
2009-05-22,2733.02,2740.68,2762.74,2719.12,614990.12,7440719.87,,,,
2009-05-25,2684.21,2752.72,2761.39,2675.29,740916.71,9104881.61,,,,
2009-05-26,2757.31,2719.76,2762.81,2718.56,723160.12,8889489.57,,,,
2009-05-27,2734.42,2759.71,2768.57,2715.82,679766.45,7860224.61,,,,
2009-06-01,2798.93,2858.34,2864.47,2798.93,1085648.83,13296777.81,,,,
2009-06-02,2878.53,2865.1,2892.78,2855.06,1083383.97,13013177.8,,,,
2009-06-03,2865.73,2939.39,2939.39,2864.71,1120733.1,13160658.64,,,,
2009-06-04,2924.27,2953.75,2961.04,2899.67,1301277.1,15377074.18,,,,
2009-06-05,2966.07,2939.31,2975.18,2937.18,1084763.24,13134798.44,,,,
2009-06-08,2937.64,2948.48,2978.23,2912.49,961163.66,11453893.51,,,,
2009-06-09,2948.95,2960.56,2960.9,2892.72,919898.86,10874741.56,,,,
2009-06-10,2972.42,2989.6,2995.7,2966.59,1017900.39,11645549.1,,,,
2009-06-11,2982.97,2961.63,3000.86,2951.27,871159.97,10189029.2,,,,
2009-06-12,2955.57,2906.29,2976.86,2883.32,800670.67,9213555.96,,,,
2009-06-15,2911.42,2966.19,2967.1,2898.07,743520.9,9268963.48,,,,
2009-06-16,2936.51,2961.22,2979.41,2929.04,701792.42,8992838.72,,,,
2009-06-17,2957.58,3010.59,3017.41,2930.49,772931.18,9994552.74,,,,
2009-06-18,3014.44,3057.43,3061.75,3014.44,962813.16,12277711.77,,,,
2009-06-19,3061.9,3080,3086.72,3047.27,1025180.69,11943447.9,,,,
2009-06-22,3106.39,3082.56,3116.16,3072.53,1039525.83,12268510.05,,,,
2009-06-23,3036.4,3083.9,3128.53,3028.45,1115067.34,12709478.37,,,,
2009-06-24,3079.5,3120.73,3121.21,3068.24,1094243.13,13243116.76,,,,
2009-06-25,3125.66,3117.92,3141.17,3103.87,828068.87,10770658.79,,,,
2009-06-26,3126.23,3128.42,3137.08,3109.32,705009.08,8866349.71,,,,
2009-06-29,3132.11,3179.97,3182.42,3122.16,849970.75,10753921.2,,,,
2009-06-30,3191.64,3166.47,3195.72,3159.63,867823.47,11892614.04,,,,
2009-07-01,3153.54,3237.9,3238.79,3150.65,969505.65,12983069.97,,,,
2009-07-02,3248.2,3282.36,3285.09,3247.57,1129892.94,15259457.08,,,,
2009-07-03,3254.93,3327.14,3327.67,3249.11,1057325.92,14253135.18,,,,
2009-07-06,3333.1,3374.75,3378.06,3333.1,1352640.49,17585735.32,,,,
2009-07-07,3368.33,3340.49,3393.22,3327.35,1296007.99,16045059.34,,,,
2009-07-08,3306.43,3352.27,3368.07,3261.32,1138675.92,14730305.23,,,,
