date,open,close,high,low,num_trade,amount,,,,
2009-05-04,9567.63,9899.67,9899.67,9562.95,747464.32,7174692.74,,,,
2009-05-05,9958.54,9947.81,10072.48,9910.69,780365.73,7546818.12,,,,
2009-05-06,9942.36,10149.07,10183.76,9911.82,816825.58,8149950.22,,,,
2009-05-07,10229.04,10108.94,10318.66,9973.55,931448.44,9434480.99,,,,
2009-05-08,10014.25,10183.06,10252.22,9907.18,866347.38,8434132.58,,,,
2009-05-11,10248.52,9868.79,10347.74,9865.22,913771.06,8761905.09,,,,
2009-05-12,9774.8,10179.15,10179.15,9764.84,618522.19,5903732.02,,,,
2009-05-13,10206.79,10294.37,10331.5,10172.62,743828.86,7407629.14,,,,
2009-05-14,10179.51,10252.15,10283.83,10087.73,676733.92,6596019.26,,,,
2009-05-15,10276.55,10273.23,10357,10164.92,629165,6053156.39,,,,
2009-05-18,10211.02,10314.04,10339.02,10023.65,613656.25,5978307.13,,,,
2009-05-19,10413.28,10424.36,10465.75,10359.63,795004.51,7969437.92,,,,
2009-05-20,10453.4,10369.14,10497.17,10369.14,768030.94,7686824.29,,,,
2009-05-21,10302.03,10108.86,10342.77,10048.35,723901.39,7122777.93,,,,
2009-05-22,10049.3,10072.63,10158.52,9976.93,522051.27,5290184.96,,,,
2009-05-25,9861.37,10182.16,10215.14,9824.62,635637.45,6583853.42,,,,
2009-05-26,10176.64,10022.3,10207.89,10006.48,673640.43,6993742.14,,,,
2009-05-27,10097.47,10127.92,10165.43,10002.75,551177.2,5467053.68,,,,
2009-06-01,10267.74,10421.35,10458.78,10267.74,658387.22,6864958.21,,,,
2009-06-02,10508.58,10484.33,10566.11,10439.56,722708.88,7514403.17,,,,
2009-06-03,10473.12,10712.31,10712.31,10459.02,764500.64,7885766.12,,,,
2009-06-04,10651.16,10733.72,10800.24,10567.43,815628.8,8401409.39,,,,
2009-06-05,10763.52,10667.11,10817.04,10655.35,754702.43,8051644.02,,,,
2009-06-08,10651.18,10611.75,10736.39,10524.45,667845.73,6934218.65,,,,
2009-06-09,10648.06,10740.09,10740.09,10497.37,690848.37,6973481.11,,,,
2009-06-10,10819.32,10820.74,10882.5,10754.03,746966.86,7235939.01,,,,
2009-06-11,10803.54,10699.91,10858.7,10658.97,673542.36,6620639.38,,,,
2009-06-12,10676.69,10524.13,10768.75,10440.11,657777.68,6366556.04,,,,
2009-06-15,10578.64,10768.96,10768.96,10522.77,528076.98,5566138.29,,,,
2009-06-16,10655.99,10797.2,10851.7,10614.03,517031.02,5561030.29,,,,
2009-06-17,10782.65,11040.49,11077.42,10688.06,618516.22,6457086.13,,,,
2009-06-18,11046.56,11151.63,11198.37,11046.56,678870.43,7413706.3,,,,
2009-06-19,11166.64,11242.29,11270.62,11099.66,733551.41,7793184.29,,,,
2009-06-22,11315.92,11190.71,11354.73,11148.23,686859.5,7263746.76,,,,
2009-06-23,11019.71,11125.66,11286.63,10941.32,644091,6583844.15,,,,
2009-06-24,11120.84,11381.64,11381.64,11105.31,651204.05,7121881.23,,,,
2009-06-25,11410.57,11385.88,11490.77,11332.73,631207.55,6744336.32,,,,
2009-06-26,11425.62,11413.17,11462.23,11334.62,577112.68,6017926.25,,,,
2009-06-29,11423.47,11605.51,11655.26,11370.1,655550.1,6898059.55,,,,
2009-06-30,11644.9,11566.61,11672.7,11541.94,622609.61,6660097.78,,,,
2009-07-01,11529.54,11848.75,11849.29,11504.75,686594.71,7369439.04,,,,
2009-07-02,11875.86,11970.72,11987.26,11858.07,781467.17,8507867,,,,
2009-07-03,11873.18,12258.79,12261.91,11845.08,832553.58,8967578.31,,,,
2009-07-06,12301.92,12489.93,12508.59,12301.92,856304.49,9513638.85,,,,
2009-07-07,12450.64,12362.44,12593.81,12306.66,834050.29,9137263.44,,,,
2009-07-08,12225.63,12488.58,12530.9,12096.84,736600.14,8182552.15,,,,
2009-07-09,12491.52,12637.94,12652.08,12444.54,863268.98,9633956.43,,,,
2009-07-10,12640.2,12706.01,12814,12602.93,882015.14,9762343.97,,,,
2009-07-13,12705.48,12660.55,12795.38,12640.51,828021.89,9289518.95,,,,
2009-07-14,12752.08,12991.06,12991.06,12752.08,859833.47,9805747.47,,,,
2009-07-15,13027.66,13079.26,13112.34,12977.66,951576.72,11213954.31,,,,
2009-07-16,13158.97,13081.89,13222.5,13031.7,942535.16,11396755.22,,,,
2009-07-17,13058.28,13131.97,13183.33,12988.73,818792.18,9699486.47,,,,
2009-07-20,13150.91,13381.22,13381.22,13069.84,966058.53,11643058.92,,,,
2009-07-21,13380.57,13177.21,13420.92,13158.59,962522.4,11363111.71,,,,
2009-07-22,13113.66,13353.21,13378.91,13111.83,840738.19,10089096.81,,,,
2009-07-23,13374.75,13521.65,13528.54,13326.75,857099.18,10065591.84,,,,
2009-07-24,13602.24,13531.72,13660.28,13276.2,894517.36,10859076.66,,,,
2009-07-27,13599.66,13743.4,13751.74,13465.72,886485.59,11174260.75,,,,
2009-07-28,13785.85,13836.66,13881.14,13634.79,1027267.73,13063024.91,,,,
2009-07-29,13778.58,13070.6,13810.09,12720.05,1082549.63,13219501.47,,,,
2009-07-30,13141.76,13272.53,13377.01,12796.3,875808.02,10810886.31,,,,
2009-07-31,13387.88,13670.72,13671.13,13250.5,866524.32,10654085.66,,,,
2009-08-03,13735.08,13856.99,13867.71,13582.34,980538.89,12257504.25,,,,
2009-08-04,13924.92,13904.55,13929.98,13603,1045198.41,12958361.78,,,,
2009-08-05,13895.69,13782.94,13943.44,13572.82,974257.73,12224018.14,,,,
2009-08-06,13660.39,13495.97,13781.81,13268.3,897359.96,11223040.93,,,,
2009-08-07,13459.42,12975.26,13569.64,12943.84,760452.18,9407759.65,,,,
2009-08-10,13109.32,12973.65,13243.82,12745.9,614962.32,7767778.1,,,,
2009-08-11,13033.09,13137.11,13198.84,12943.92,512328.06,6555038.52,,,,
2009-08-12,13091.96,12591.66,13101.99,12547.42,650365.02,7994174.36,,,,
2009-08-13,12622.75,12802.91,12834.08,12383.19,547775.52,6813758.64,,,,
2009-08-14,12807.44,12499.75,12924.2,12472.94,613090.55,7452754.44,,,,
2009-08-17,12269.49,11668.8,12378.01,11652.92,607519.83,6817374.18,,,,
2009-08-18,11527.7,11773.3,11833.03,11466.99,491653.8,5489011.24,,,,
2009-08-19,11818,11209.93,11833.97,11072.61,554718.13,6171605.35,,,,
2009-08-20,11193.03,11648.35,11667.98,11193.03,557177.6,6267375.45,,,,
2009-08-21,11602.31,11892.02,11981.48,11542.4,630270.15,7250532.05,,,,
2009-08-24,11962.76,12075.8,12126.86,11847.52,643435.18,7577375.53,,,,
2009-08-25,12009.56,11688.17,12009.56,11332.39,713756.93,8163551.5,,,,
2009-08-26,11598.58,11995.03,12101.82,11546.25,684658.98,7882033.01,,,,
2009-08-27,11868.66,11897.74,12148.18,11760.96,709898.62,7964621.92,,,,
2009-08-28,11880.03,11450.08,11963.52,11418.05,578725,6801978.56,,,,
2009-08-31,11297.46,10585.09,11297.46,10561.74,582010.61,6505621.97,,,,
2009-09-01,10463.04,10614.28,10855.28,10387.42,492580.39,5358426.18,,,,
2009-09-02,10503.39,10738.95,10811.58,10462.11,408833.49,4422594.08,,,,
2009-09-03,10772.76,11404.05,11445.36,10765.01,611075.04,6888038.68,,,,
2009-09-04,11416.66,11519.68,11609.48,11369.86,623032.99,7174400.14,,,,
2009-09-07,11591.64,11635.45,11837.51,11526.96,662739.89,7823141.89,,,,
2009-09-08,11548.25,11923.34,11923.34,11425.5,650025.37,7798129.45,,,,
2009-09-09,12000.1,12047.22,12097.61,11828.88,697967.32,8986787.58,,,,
2009-09-10,11954.83,11887.02,12066.16,11849.48,577631.12,7379694.26,,,,
2009-09-11,11839.08,12096.26,12173.2,11834.47,627446.42,7736774.49,,,,
2009-09-14,12145.84,12385.06,12387.56,12128.46,770854.65,9460277.8,,,,
2009-09-15,12406.06,12438.24,12530.07,12306.25,778783.88,9380271.6,,,,
2009-09-16,12396.5,12294.88,12456.96,12097.6,781162.99,9388190.49,,,,
2009-09-17,12334.96,12473.61,12521.88,12334.96,813139.55,9713976.64,,,,
2009-09-18,12486.78,11977.4,12488.6,11854.24,900950.89,10684828.89,,,,
2009-09-21,11836.76,12045.21,12048.64,11553.9,668097.84,8003246.32,,,,
2009-09-22,11985.82,11813.46,12230.23,11806.76,649946.77,7966479.39,,,,
2009-09-23,11787.87,11462.33,11898.47,11383.94,583524.09,7012053.89,,,,
2009-09-24,11386.44,11475.88,11654.09,11109.08,520332.16,6105571.39,,,,
2009-09-25,11382.15,11384.16,11539.04,11261.7,393149.13,4470962.38,,,,
2009-09-28,11418.44,11086.71,11527.63,11042.07,377119.96,4301410.7,,,,
2009-09-29,11092.52,11069.28,11157.55,10883.13,397767.1,4324386.43,,,,
2009-09-30,11121.23,11206.85,11300.03,11121.23,348901.8,4004323.93,,,,
2009-10-09,11499.7,11801.23,11809.1,11452.33,434645.03,5235615.72,,,,
2009-10-12,11829.3,11743.89,11895.91,11728.06,461175.86,5568905.99,,,,
2009-10-13,11710.14,11874.9,11874.9,11679.2,423164.94,4996971.88,,,,
2009-10-14,11914.77,11975.91,12171.47,11895.3,617736.29,7536296.73,,,,
2009-10-15,12092.42,12010.18,12214.07,11985.26,536184.13,6456190.12,,,,
2009-10-16,12046.8,12033.37,12126.92,11828.06,509939.87,6168731.8,,,,
2009-10-19,12047.74,12483.27,12485.21,12035.19,689436.84,8616482.62,,,,
2009-10-20,12566.47,12676.24,12684.97,12531.67,769364.3,9695735.58,,,,
2009-10-21,12683.73,12692.72,12875.1,12631.48,760546.44,9274970.54,,,,
2009-10-22,12670.97,12624.68,12751.3,12586.67,674617.18,7964930.57,,,,
2009-10-23,12656.32,12843.21,12941.38,12656.32,811620.38,9732678.88,,,,
2009-10-26,12869.34,12815.26,12916.81,12708.88,706391.9,8735358.16,,,,
2009-10-27,12704.24,12412.45,12739.09,12412.45,718903.45,8928931.7,,,,
2009-10-28,12349.47,12505.33,12527.61,12234.35,604599.92,7336407.25,,,,
2009-10-29,12270.61,12193.16,12373.71,12174.12,601485.17,7350326.03,,,,
2009-10-30,12427.1,12297.16,12491.72,12294.19,660006.53,9962814.41,,,,
2009-11-02,12016.61,12715.65,12718.97,11957.58,768596.83,9930765.12,,,,
2009-11-03,12754.7,12859.86,12903.68,12727.48,944064.77,11961723.99,,,,
2009-11-04,12886.1,12931.21,13024.16,12772.8,930308.97,11682690.69,,,,
2009-11-05,12945.93,12901.7,12982.79,12777.29,801414.4,9862957.33,,,,
2009-11-06,12994.51,12987.2,13082.17,12940.99,935420.16,11657921.32,,,,
2009-11-09,12996.29,13036.3,13064.38,12890.01,789266.36,9672394.7,,,,
2009-11-10,13133.66,13151.49,13224.79,13115.04,805686.68,10168441.27,,,,
2009-11-11,13138.89,13106.92,13200.08,13003.79,713502.95,8855058.84,,,,
